,age_group,gender,location,italian_region,travel_purpose,touristic_travel_freq,traveler_type,trip_org,trip_ideas_source,weekend_distance,historic_importance,arch_interest,restaurant_reviews_importance,food_activities_interest,attr_public_transport,attr_prices,attr_accommodation,attr_food,attr_history,attr_events,attr_landscape,attr_tourist_packs,week_trip_budget,night_accommodation_budget,discount_importance,guided_tours_importance,offseason_interest,private_transport_pref,public_transport_importance,max_transport,wine_cheap,wine_good,wine_expensive,wine_too_expensive,quintana_cheap,quintana_good,quintana_expensive,quintana_too_expensive,ascoliva_cheap,ascoliva_good,ascoliva_expensive,ascoliva_too_expensive,walking_tour_interest,tour_cheap,tour_good,tour_expensive,tour_too_expensive,rating_ascoli,rating_siena,rating_lucca,rating_pisa,rating_venezia,food_ascoli,food_siena,food_lucca,food_pisa,food_venezia,events_ascoli,events_siena,events_lucca,events_pisa,events_venezia
0,18-25,Male,South America,,Tourism,1,Family Traveler;Group Traveler,Relying on recommendations from friends/family,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Travel blogs or websites;Recommendations from friends or family;Online travel platforms (e.g., TripAdvisor, Booking.com, Expedia)",100–300 km (Approx. 1.5 to 3 hours by car),3,Public squares;Castles and fortifications;Bridges,2,Yes,7,3,6,4,2,5,1,8,2000-4000,150-400,4,3,Yes,No,4.0,3,70,50,100,200,30,50,70,100,20.0,50.0,80,130.0,Yes,40.0,80.0,130.0,200.0,4,2,5,3,1,2,5,1,3,4,1,2,3,4,5
1,26-35,Male,Europe,,Tourism,>5,Group Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Travel blogs or websites;Recommendations from friends or family",300–500 km (Approx. 3 to 5 hours by car),3,Public squares;Castles and fortifications;Ports,5,Yes,5,3,4,1,7,6,2,8,500-2000,50-150,4,3,Yes,No,4.0,1,20,40,50,70,5,10,30,50,5.0,20.0,40,60.0,Yes,1.0,5.0,20.0,30.0,4,3,5,2,1,4,1,5,2,3,4,1,5,3,2
2,18-25,Female,Italy,"North (Valle d'Aosta, Piemonte, Lombardia, Liguria, Veneto, Trentino-Alto Adige, Friuli Venezia Giulia, Emilia-Romagna)",Tourism,2,Group Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Online travel platforms (e.g., TripAdvisor, Booking.com, Expedia);TV shows, movies, or documentaries",300–500 km (Approx. 3 to 5 hours by car),4,Religious sites;Public squares,3,Yes,7,4,3,1,5,6,2,8,500-2000,400-700,2,2,Yes,Yes,,2,70,200,400,600,20,40,80,100,20.0,40.0,60,100.0,Yes,10.0,25.0,40.0,60.0,4,2,5,3,1,3,2,1,5,4,1,2,5,4,3
3,26-35,Other/I prefer not to say it,South America,,I don’t travel,0,Family Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Travel blogs or websites",100–300 km (Approx. 1.5 to 3 hours by car),5,Bridges,5,No,6,8,1,7,5,4,3,2,2000-4000,150-400,3,2,Yes,Yes,2.0,2,30,45,50,60,20,30,50,35,30.0,35.0,40,45.0,No,,,,,1,2,3,4,5,1,2,3,4,5,2,3,4,5,1
4,26-35,Female,Italy,"North (Valle d'Aosta, Piemonte, Lombardia, Liguria, Veneto, Trentino-Alto Adige, Friuli Venezia Giulia, Emilia-Romagna)",Education,3,Family Traveler;Couple Traveler,Relying on recommendations from friends/family,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Travel blogs or websites;Recommendations from friends or family",100–300 km (Approx. 1.5 to 3 hours by car),4,Religious sites;Public squares;Castles and fortifications;Bridges,4,Yes,2,3,4,1,6,8,5,7,500-2000,<50,5,4,Yes,No,4.0,2,15,25,85,120,5,10,25,50,10.0,25.0,50,100.0,Yes,3.0,8.0,15.0,30.0,4,2,3,5,1,1,5,4,2,3,3,4,2,5,1
5,26-35,Male,Italy,"North (Valle d'Aosta, Piemonte, Lombardia, Liguria, Veneto, Trentino-Alto Adige, Friuli Venezia Giulia, Emilia-Romagna)",Tourism,2,Solo Traveler;Group Traveler;Couple Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Travel blogs or websites;Recommendations from friends or family",100–300 km (Approx. 1.5 to 3 hours by car),4,Public squares;Castles and fortifications;Bridges,4,Yes,4,5,6,3,2,7,1,8,500-2000,50-150,5,3,Yes,No,5.0,2,5,12,18,25,4,8,15,20,4.0,6.0,10,15.0,Yes,5.0,10.0,15.0,20.0,5,4,2,3,1,1,4,2,3,5,2,1,5,4,3
6,18-25,Female,Europe,,Tourism,2,Family Traveler;Group Traveler,Internet recommendations and blogs,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Travel blogs or websites",100–300 km (Approx. 1.5 to 3 hours by car),4,Religious sites;Public squares;Castles and fortifications,5,Yes,4,5,1,3,2,7,6,8,<500,<50,4,3,Yes,No,1.0,2,20,40,65,100,25,50,85,150,5.0,10.0,30,45.0,Yes,5.0,20.0,40.0,60.0,3,4,2,5,1,5,2,1,3,4,4,3,5,2,1
7,26-35,Male,Italy,"North (Valle d'Aosta, Piemonte, Lombardia, Liguria, Veneto, Trentino-Alto Adige, Friuli Venezia Giulia, Emilia-Romagna)",Tourism,3,Family Traveler;Group Traveler;Couple Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest)",> 500 km ( > 5 hours by car),4,Castles and fortifications,5,Yes,4,5,6,8,7,2,3,1,500-2000,150-400,5,5,Yes,Yes,5.0,2,20,7,50,100,10,100,200,300,5.0,7.0,10,20.0,Yes,5.0,12.0,18.0,50.0,5,2,1,3,4,5,4,3,2,1,1,3,2,4,5
8,18-25,Male,Italy,"North (Valle d'Aosta, Piemonte, Lombardia, Liguria, Veneto, Trentino-Alto Adige, Friuli Venezia Giulia, Emilia-Romagna)",Tourism,3,Group Traveler,Relying on recommendations from friends/family,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Recommendations from friends or family;TV shows, movies, or documentaries",100–300 km (Approx. 1.5 to 3 hours by car),5,Religious sites;Castles and fortifications,4,No,3,6,7,2,1,4,5,8,500-2000,50-150,2,1,Yes,Yes,,2,50,75,120,140,10,18,27,30,8.0,15.0,18,20.0,Yes,15.0,21.0,28.0,32.0,4,5,3,2,1,5,4,1,2,3,3,4,5,1,2
9,26-35,Male,South America,,Tourism,1,Couple Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Travel blogs or websites;Recommendations from friends or family",300–500 km (Approx. 3 to 5 hours by car),1,Castles and fortifications,5,Yes,8,3,1,2,5,6,4,7,2000-4000,50-150,2,4,Yes,Yes,3.0,1,30,75,100,150,40,60,90,120,20.0,35.0,60,90.0,Yes,10.0,20.0,35.0,50.0,4,3,5,2,1,4,5,3,1,2,2,1,5,4,3
10,18-25,Male,South America,,Tourism,1,Family Traveler;Group Traveler,Relying on recommendations from friends/family,"Recommendations from friends or family;TV shows, movies, or documentaries;Magazines or books",300–500 km (Approx. 3 to 5 hours by car),4,Religious sites;Castles and fortifications,2,Yes,5,6,7,3,1,4,2,8,500-2000,50-150,4,1,Yes,No,5.0,2,20,50,80,150,40,70,160,200,10.0,20.0,50,80.0,Yes,15.0,25.0,40.0,70.0,3,5,4,2,1,3,2,1,4,5,3,2,5,4,1
